fantaking_id,name,team,position,rank,fpt,quotation,plus,pts,reb,ast,stl,tov,blk,blka,fd,pf,fg_missed,ft_missed,win_1-10,win_11-20,win_20,win_ot,loss_1-10,loss_11-20,loss_20,loss_ot,captured_at
3791,C. Jones,PAR,Guard,1,36.3,14.5,0.9,20.0,4.0,10.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.0,,,,,,,,,2026-09-26T12:04:04.332344+00:00
7201,D. Bacon,DUB,Forward,2,34.1,13.5,0.8,24.0,5.0,4.0,0.0,1.0,0.0,0.0,5.0,1.0,4.0,1.0,,,,,,,,,2026-09-26T12:04:04.332344+00:00
3766,S. Vezenkov,OLY,Forward,3,33.0,17.6,0.6,22.0,5.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,,,,,,,,,2026-09-26T12:04:04.332344+00:00
3857,D. Oturu,HTA,Center,4,32.0,14.9,0.7,20.0,12.0,3.0,2.0,3.0,2.0,0.0,1.0,4.0,1.0,0.0,,,,,,,,,2026-09-26T12:04:04.332344+00:00
3874,T. Dorsey,OLY,Guard,5,31.9,13.3,0.7,25.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,,,,,,,,,2026-09-26T12:04:04.332344+00:00
3768,M. Lessort,PAO,Center,6,30.8,15.0,0.6,15.0,9.0,2.0,2.0,4.0,3.0,1.0,9.0,1.0,5.0,1.0,,,,,,,,,2026-09-26T12:04:04.332344+00:00
11516,J. Crowder,ASV,Forward,7,27.5,10.2,0.7,19.0,4.0,4.0,1.0,1.0,1.0,0.0,4.0,2.0,4.0,1.0,,,,,,,,,2026-09-26T12:04:04.332344+00:00
11549,J. Valanciunas,ZAL,Center,8,26.4,15.9,0.4,13.0,8.0,2.0,0.0,1.0,3.0,0.0,3.0,1.0,3.0,0.0,,,,,,,,,2026-09-26T12:04:04.332344+00:00
11487,D. Saric,EFS,Forward,9,26.0,14.9,0.4,17.0,5.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,1.0,,,,,,,,,2026-09-26T12:04:04.332344+00:00
7221,A. Tubelis,ZAL,Forward,10,25.3,11.6,0.5,10.0,12.0,4.0,1.0,1.0,1.0,0.0,4.0,0.0,6.0,2.0,,,,,,,,,2026-09-26T12:04:04.332344+00:00
4247,C. Jones,CZV,Guard,11,25.0,12.6,0.5,15.0,2.0,8.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,,,,,,2026-09-26T12:04:04.332344+00:00
